,0
0,TSPAN6
1,TNMD
2,DPM1
3,SCYL3
4,C1orf112
5,FGR
6,CFH
7,FUCA2
8,GCLC
9,NFYA
10,LAS1L
11,ENPP4
12,SEMA3F
13,CFTR
14,ANKIB1
15,CYP51A1
16,KRIT1
17,RAD52
18,BAD
19,LAP3
20,HS3ST1
21,WNT16
22,HECW1
23,MAD1L1
24,LASP1
25,SNX11
26,TMEM176A
27,M6PR
28,KLHL13
29,CYP26B1
30,ICA1
31,DBNDD1
32,ALS2
33,CASP10
34,CFLAR
35,TFPI
36,RBM5
37,MTMR7
38,SLC7A2
39,ARF5
40,SARM1
41,POLDIP2
42,PLXND1
43,AK2
44,CD38
45,FKBP4
46,RBM6
47,CAMKK1
48,RECQL
49,HSPB6
50,NDUFAB1
51,PDK4
52,SLC22A16
53,ZMYND10
54,ABCB5
55,ARX
56,SLC25A13
57,ST7
58,CDC27
59,SLC4A1
60,CALCR
61,HCCS
62,DVL2
63,PRSS22
64,UPF1
65,SKAP2
66,SLC25A5
67,HOXA11
68,POLR2J
69,DHX33
70,MEOX1
71,THSD7A
72,LIG3
73,RPAP3
74,ACSM3
75,CIAPIN1
76,SPPL2B
77,COPZ2
78,PRKAR2B
79,CREBBP
80,MPO
81,PON1
82,WDR54
83,CROT
84,ABCB4
85,RHBDD2
86,SOX8
87,IBTK
88,ZNF195
89,MYCBP2
90,FBXL3
91,ITGAL
92,PDK2
93,ITGA3
94,ZFX
95,LAMP2
96,ITGA2B
97,C19orf60
98,CRLF1
99,OSBPL7
100,TMEM98
101,YBX2
102,MAP3K14
103,AP2B1
104,ZNF263
105,CX3CL1
106,SPATA20
107,CACNA1G
108,TNFRSF12A
109,DLX6
110,MAP3K9
111,RALA
112,BAIAP2L1
113,ETV1
114,AGK
115,ALDH3B1
116,TTC22
117,PHTF2
118,CCL26
119,FARP2
120,USH1C
121,DBF4
122,TBXA2R
123,IFRD1
124,COX10
125,GTF2IRD1
126,PAF1
127,VPS41
128,ELAC2
129,SCIN
130,ARSD
131,PNPLA4
132,ADIPOR2
133,CDKL3
134,UPP2
135,PRSS21
136,MARK4
137,PROM1
138,CCDC124
139,CEACAM21
140,PAFAH1B1
141,DNAH9
142,KIAA0100
143,GAS7
144,TRAPPC6A
145,MATK
146,CD79B
147,SCN4A
148,ST7L
149,TKTL1
150,PAX6
151,RPUSD1
152,RHBDF1
153,LUC7L
154,CACNA2D2
155,BAIAP3
156,PIGQ
157,TEAD3
158,DNAJC11
159,FMO3
160,MYLIP
161,NOX1
162,E2F2
163,PSMB1
164,SYN1
165,JARID2
166,CDKL5
167,CAMK1G
168,NADK
169,DLEC1
170,ADAM22
171,SYPL1
172,CYB561
173,SPAG9
174,CELSR3
175,AASS
176,PLEKHG6
177,SS18L2
178,MPND
179,MGST1
180,CRY1
181,PGLYRP1
182,NFIX
183,ST3GAL1
184,MMP25
185,IL32
186,PKD1
187,MAPK8IP2
188,RHOBTB2
189,HEATR5B
190,RPS20
191,CSDE1
192,UBE3C
193,REV3L
194,MASP2
195,IYD
196,TRAF3IP3
197,POMT2
198,VTA1
199,MLXIPL
200,BAZ1B
201,RANBP9
202,ETV7
203,DYRK4
204,ZNF207
205,UQCRC1
206,STARD3NL
207,CD9
208,NCAPD2
209,GIPR
210,PHF7
211,SEMA3G
212,NISCH
213,STAB1
214,FUZ
215,PRSS3
216,ZNF200
217,CD4
218,LRRC23
219,BTK
220,HFE
221,SCMH1
222,FYN
223,HIVEP2
224,FMO1
225,LYPLA2
226,CLCN6
227,MRC2
228,SLC6A7
229,TSPAN9
230,BTBD7
231,APBA3
232,MKS1
233,ABHD5
234,AKAP8L
235,MBTD1
236,UTP18
237,RNF216
238,TTC19
239,PTBP1
240,DPF1
241,SYT7
242,LARS2
243,PIK3C2A
244,PLAUR
245,ANLN
246,WIZ
247,RABGAP1
248,DCN
249,PPP5C
250,CEP68
251,MAP4K3
252,ZBTB32
253,TYROBP
254,TMEM159
255,BRCA1
256,ERCC1
257,CD22
258,SEMA3B
259,MBTPS2
260,LTF
261,EXTL3
262,ELOVL5
263,ALOX5
264,CALCOCO1
265,MAP4K5
266,EHD3
267,PSMC4
268,MAN2B2
269,CLDN11
270,SLC25A39
271,MVP
272,NUB1
273,PGM3
274,RWDD2A
275,CLK1
276,POLR3B
277,ANGEL1
278,RNF14
279,DDX11
280,HEBP1
281,GPRC5A
282,CD6
283,TACC3
284,POLA2
285,ZC3H3
286,CAPN1
287,MDH1
288,SLC30A9
289,MTMR11
290,COX15
291,CCDC88C
292,YAF2
293,ZMYND11
294,WAS
295,DPEP1
296,BID
297,MATR3
298,NPC1L1
299,XYLT2
300,RGPD5
301,NUDCD3
302,ISL1
303,CHDH
304,IL20RA
305,GLT8D1
306,ATP2C1
307,IGF1
308,SLC38A5
309,RALBP1
310,RUFY3
311,CNTN1
312,SLC11A1
313,WWTR1
314,AGPS
315,CXorf56
316,ATP1A2
317,TTC27
318,ZNF582
319,VSIG2
320,PHLDB1
321,MARCO
322,CYP24A1
323,PRDM11
324,SYT13
325,SNAI2
326,CD74
327,ZRANB1
328,NCDN
329,ZFP64
330,MNAT1
331,SAMD4A
332,RUNX3
333,PLEKHB1
334,SERPINB1
335,SLC7A9
336,SPAST
337,NRXN3
338,OSBPL5
339,AQR
340,CPS1
341,FHL1
342,NLRP2
343,SLC45A4
344,RNF10
345,ZDHHC6
346,GRAMD1B
347,RNH1
348,NDUFS1
349,RB1CC1
350,ALAS1
351,BIRC3
352,AKAP11
353,GLRX2
354,SNAPC1
355,DERA
356,STRAP
357,ABCC2
358,DEF6
359,PLEKHO1
360,GCLM
361,UBR2
362,EHD2
363,DEPDC1
364,CCDC28A
365,RRAGD
366,HSF2
367,PHF20
368,HSD17B6
369,NR1H3
370,NCAPH2
371,TOMM34
372,SEC63
373,KPNA6
374,VIM
375,FAS
376,RNASET2
377,CD44
378,KCNG1
379,AGPAT4
380,SLAMF7
381,MIPEP
382,PRKCH
383,INSRR
384,IFNGR1
385,B4GALT7
386,SH2D2A
387,TNFRSF1B
388,VEZT
389,POU2F2
390,BRD9
391,SNX1
392,TBPL1
393,ARNTL2
394,BCLAF1
395,SLC39A9
396,ANK1
397,IBSP
398,TFB1M
399,RABEP1
400,HMGB3
401,NUP160
402,BAK1
403,IKZF2
404,GRN
405,CENPQ
406,SARS
407,RANBP3
408,ARID4A
409,PNPLA6
410,IFT88
411,ZCCHC8
412,ABCF2
413,LRRC7
414,FUT8
415,GAB2
416,ATP6V0A1
417,PIAS1
418,SLC4A7
419,APBA2
420,MAP2K3
421,EFCAB1
422,TMSB10
423,ASTE1
424,RNF19A
425,PEX3
426,GABARAPL2
427,MYOC
428,SH3YL1
429,FAM136A
430,VCL
431,DEPDC1B
432,DAPK2
433,NSMAF
434,ADSS
435,STAP1
436,TIMP2
437,RFC1
438,TBC1D23
439,CUL3
440,MYOM2
441,CYP46A1
442,ZZZ3
443,USP2
444,CASR
445,TUBG2
446,RPL26L1
447,FLT4
448,NSUN2
449,FBXO42
450,MFAP3
451,METTL1
452,HOXC8
453,AGA
454,PI4K2B
455,MAT2B
456,TLL1
457,EDC4
458,TRIO
459,VCAN
460,CLEC16A
461,MSR1
462,CDH1
463,SKIV2L2
464,DNAH5
465,ZFYVE16
466,C6
467,RAI14
468,SOX30
469,PNKP
470,BEST2
471,STAU2
472,CTNS
473,RTN4R
474,PHF23
475,INPP4A
476,RAB27B
477,PSMA4
478,MYO16
479,LSG1
480,PARP3
481,TNC
482,THAP3
483,TDP1
484,AIFM2
485,SPATA7
486,MED17
487,CAPG
488,USH2A
489,TG
490,ADAM28
491,BARX2
492,DCUN1D1
493,ZIC2
494,LCP2
495,TRIT1
496,ADRB1
497,CUL7
498,CTNNA1
499,PHKA2
500,EPHA3
501,HSPA5
502,DSG2
503,GEMIN8
504,OFD1
505,GPM6B
506,WDR37
507,YTHDC2
508,CTPS2
509,ATP6V1H
510,POLR2B
511,CP
512,KIAA0556
513,DTNBP1
514,XK
515,C12orf4
516,SCML1
517,WWC3
518,ARHGAP6
519,MAP4
520,GOPC
521,ROS1
522,USP28
523,HDAC9
524,TSPAN17
525,RRM2B
526,ZNF800
527,TNFRSF17
528,LMO3
529,MRPS10
530,GUCA1A
531,RSF1
532,VPS13D
533,R3HDM1
534,COL9A2
535,ERCC8
536,ADAMTS6
537,H6PD
538,VAMP3
539,PER3
540,UTS2
541,TNFRSF9
542,EPN3
543,LTBP1
544,RCN1
545,ELN
546,RFC2
547,ARID1B
548,CLPTM1L
549,NEDD4L
550,FOXP3
551,PPP1R3F
552,HEXB
553,PTCD2
554,DKK3
555,ARHGEF5
556,NFE2L3
557,LIMA1
558,LETMD1
559,SLC4A8
560,LAMC3
561,PTGER3
562,TNIP3
563,MAPK9
564,COL23A1
565,BCAR1
566,HERPUD1
567,HOMER3
568,RAD51
569,POLQ
570,PIK3CB
571,CYBA
572,THOC3
573,HEBP2
574,MPHOSPH9
575,PLEKHA5
576,PRSS8
577,RRP12
578,TTC17
579,FSTL4
580,FOXN3
581,AKR7A2
582,MRTO4
583,NNAT
584,USE1
585,NRIP2
586,LAMA3
587,ANAPC4
588,KCNQ1
589,TRAPPC3
590,THRAP3
591,PHPT1
592,ENTPD2
593,LY75
594,ARID4B
595,OPN3
596,SDCCAG8
597,PTPRN
598,HHAT
599,KIF1B
600,FOXC1
601,TBC1D22A
602,SYNE2
603,PLEKHH1
604,ATP9A
605,CBLN4
606,CHRDL2
607,RELT
608,GALC
609,KCNH2
610,CUL1
611,CYFIP2
612,EIF2AK2
613,USP36
614,MCOLN3
615,CCDC85A
616,PUM2
617,MRPL43
618,ITIH4
619,ZFR
620,PHF21B
621,TRAF1
622,RC3H2
623,IL17RB
624,TRAF3IP2
625,GYG2
626,DCBLD2
627,SOAT1
628,PKP2
629,MSH4
630,F7
631,GDI2
632,PRDM1
633,ATG5
634,TMCC3
635,MTA3
636,USP13
637,ATP11B
638,LAMC2
639,SEC61A1
640,PPP1R12A
641,RASGRF1
642,CAMK2B
643,CROCC
644,POLR3E
645,ATP2B4
646,ZC3H11A
647,RIOK2
648,YIPF1
649,DGKG
650,FLYWCH1
651,UNKL
652,TBXAS1
653,PARP12
654,ALDH18A1
655,TARBP1
656,MXD1
657,SLC2A3
658,PSD
659,CTDP1
660,STYK1
661,WNK1
662,CCAR1
663,OGFR
664,GNA15
665,CREB3L3
666,PIGV
667,PTPRU
668,RIMBP2
669,COL11A1
670,QSER1
671,ACAA1
672,BCAT1
673,LZTS1
674,SPAG4
675,NCKAP1
676,MRPS35
677,GUCY1B3
678,TNK2
679,MON2
680,CDH3
681,GPBP1
682,DGAT2
683,CS
684,LTK
685,MRPS24
686,ELMO2
687,APPBP2
688,POLD1
689,SEZ6
690,EIF4B
691,SLC6A16
692,SPHK2
693,RPL18
694,CA11
695,ISOC2
696,U2AF2
697,EPN1
698,MED29
699,AHRR
700,ZNF275
701,MTMR1
702,GPC1
703,ADCK1
704,HAGH
705,RNF4
706,CASP8
707,TM7SF3
708,DLX3
709,SPA17
710,TSPAN32
711,WISP2
712,DMRT3
713,ST3GAL6
714,ATP2C2
715,NGFR
716,CDON
717,TAF2
718,HIPK2
719,TNPO3
720,RFXANK
721,TMEM161A
722,CTSA
723,SLC12A2
724,SNX24
725,EYA2
726,CNN2
727,ABCA7
728,SNCAIP
729,DDX20
730,BTBD1
731,BCAS1
732,CHI3L2
733,SBNO2
734,PMS1
735,HMG20B
736,CALCRL
737,TAF11
738,ANKS1A
739,AP3D1
740,ZNF76
741,SLC9A3R2
742,NTHL1
743,GNAI3
744,OAT
745,WDR3
746,PKN2
747,WDR18
748,NTN1
749,MCM10
750,DGKA
751,ERBB3
752,ROPN1
753,ANKRD44
754,KARS
755,ADAT1
756,PDIA5
757,TBC1D22B
758,NDUFB4
759,SPEN
760,MYLK
761,MAP2K4
762,SNAP91
763,SLK
764,CYB5R4
765,COL17A1
766,GSTO2
767,SEC61A2
768,PRKCQ
769,TLE2
770,ASB1
771,FAM107B
772,ME1
773,TBC1D1
774,MTHFD2
775,SLC9A7
776,FOXJ2
777,YBX1
778,PDE4A
779,PPP2R5A
780,CTNNA2
781,ELAVL1
782,TIE1
783,DIP2B
784,SMARCD1
785,NFYC
786,ZMYND12
787,SLC9A3
788,NGEF
789,ASPM
790,CD84
791,ELOVL1
792,SPI1
793,ZNRD1
794,MPPED2
795,CLDN18
796,ZBTB11
797,ATXN3
798,GOLGA5
799,FGFR2
800,LRRC40
801,ISOC1
802,EML1
803,TRMT11
804,THUMPD1
805,KIF26A
806,ATG2B
807,ARFGEF1
808,MTFR1
809,STAG3
810,FECH
811,MYO9A
812,PFKP
813,IDI1
814,SP100
815,KLF6
816,NEO1
817,TRAM1
818,PHKA1
819,TNFRSF1A
820,CACNB1
821,EVI5
822,STOML1
823,DHX29
824,DNTTIP2
825,TP53BP1
826,TRO
827,RRP15
828,RHOA
829,DHX8
830,IARS2
831,SYT1
832,NAV3
833,IDH3G
834,ROGDI
835,PDZD4
836,ATP2B3
837,ROCK1
838,CBFB
839,PDK3
840,HYAL2
841,HDAC4
842,RASSF1
843,FGFR3
844,IFI35
845,HEATR6
846,COASY
847,PLEKHH3
848,MEF2A
849,OTUD5
850,TFE3
851,TBC1D25
852,ACSL4
853,INPP5A
854,GPKOW
855,GRIPAP1
856,FTSJ1
857,REEP1
858,ATP11A
859,POLR1A
860,LAPTM4A
861,TTC7A
862,SRBD1
863,KIF2A
864,RASGRP2
865,PSME4
866,IFT80
867,SIRT2
868,PPP2R5B
869,PYGM
870,PITX1
871,MAST4
872,SDK2
873,NUP133
874,NUCKS1
875,VPS35
876,DNAJA2
877,BCL3
878,KCNAB2
879,ABCC9
880,GAL
881,CLEC2D
882,FUNDC1
883,MAOB
884,RORA
885,DRD4
886,TGFBR3
887,KIAA1107
888,PLA2G10
889,HES2
890,ATP1B3
891,NEDD4
892,PIGB
893,MAPK6
894,GNB5
895,RAB27A
896,LRP6
897,GUCY2C
898,SCT
899,NUCB2
900,PFN2
901,PTPN3
902,SPTB
903,DAPP1
904,SLC44A1
905,SMG6
906,EXOC5
907,CLTCL1
908,FSTL3
909,DGCR2
910,RNF126
911,MNT
912,ZXDC
913,JMJD6
914,POLB
915,ST6GALNAC1
916,FRMPD1
917,GBA2
918,NDST1
919,ASNS
920,AP3M2
921,CNGB1
922,ST6GALNAC2
923,PABPC1
924,TESK2
925,CSNK2A2
926,PTPN21
927,EIF2B3
928,CAMK2A
929,TCOF1
930,CDC42
931,OSBPL3
932,EPHA8
933,SLC12A3
934,RAD18
935,ATP2B1
936,TRPM5
937,NCK2
938,MAP4K4
939,MGAT4A
940,RPL31
941,WDR1
942,SNX13
943,RPS6KA2
944,ING3
945,VASH1
946,LMCD1
947,SEL1L
948,TRIP13
949,ATP6AP1
950,TCF3
951,TRIB2
952,DAZAP1
953,MBD3
954,HLTF
955,FAM50A
956,FAM3A
957,CPSF1
958,MYO3B
959,CYBRD1
960,PDCD2
961,SLC6A15
962,RDH11
963,PRKACA
964,ACTN1
965,RPS6KA6
966,EPN2
967,PTPN18
968,LIMS2
969,LNX1
970,ALDH3A2
971,TFRC
972,SREBF1
973,AFF4
974,UBE2D1
975,MPP5
976,RHOBTB1
977,SMC1A
978,HSD17B10
979,MARK2
980,HMMR
981,CHFR
982,TRHDE
983,P4HA2
984,FCGR2B
985,NFATC3
986,TRNT1
987,ACADVL
988,FBXW11
989,CRMP1
990,EVC
991,DERL2
992,SIDT1
993,NDE1
994,MRVI1
995,TMEM38A
996,AP1M1
997,PVR
998,XRCC1
999,SCARB1
1000,MCM2
1001,MOV10L1
1002,PANX2
1003,TP63
1004,ALPK1
1005,LLGL2
